,link,price,availability,title,author,categories
592,https://echo-books.com/shop/rasteniya-3/,"11,42",Нет в наличии,Растения,МакРей Э.,Детская литература
593,https://echo-books.com/shop/rassledovanie-na-vecherinke-u-bassejna/,"10,99",Нет в наличии,Расследование на вечеринке у бассейна,Кин К.,Детская литература
594,https://echo-books.com/shop/rasskazy-o-prirode-5/,"11,20",Нет в наличии,Рассказы о природе,Сетон-Томпсон Э.,Детская литература
595,https://echo-books.com/shop/raz-ulika-dva-ulika/,"10,18",Нет в наличии,"Раз улика, два улика!",Вильмонт Е.Н.,Детская литература
596,https://echo-books.com/shop/propazha-sredi-zvezd/,"10,78",Нет в наличии,Пропажа среди звезд,Кин К.,Детская литература
597,https://echo-books.com/shop/problemy-s-poni/,"10,38",Нет в наличии,Проблемы с пони,Кин К.,Детская литература
598,https://echo-books.com/shop/poezda/,"10,93",Нет в наличии,Поезда,Моро Л.,Детская литература
599,https://echo-books.com/shop/pablo-pikasso-talant-videt/,"12,41",Нет в наличии,Пабло Пикассо. Талант видеть,"Осборн Ф., Прокаччи Р.",Детская литература
600,https://echo-books.com/shop/nensi-dryu-vne-zakona/,"10,61",Нет в наличии,Нэнси Дрю. Вне закона,Кин К.,Детская литература
601,https://echo-books.com/shop/nahodka-dlya-shpiona/,"10,28",Нет в наличии,Находка для шпиона,Вильмонт Е.Н.,Детская литература
602,https://echo-books.com/shop/moj-pervyj-gerbarij-2/,"14,69",Нет в наличии,Мой первый гербарий,Шрайер К.,Детская литература
603,https://echo-books.com/shop/mozg/,"8,35",Нет в наличии,Мозг,Саксон М.В.,Детская литература
604,https://echo-books.com/shop/limonadnyj-pohititel/,"11,02",Нет в наличии,Лимонадный похититель,Кин К.,Детская литература
605,https://echo-books.com/shop/kuda-ischez-papa/,"12,73",Нет в наличии,Куда исчез папа?,Вильмонт Е.Н.,Детская литература
606,https://echo-books.com/shop/kak-ustroena-vselennaya/,"7,21",Нет в наличии,Как устроена Вселенная?,Стотт Кэрол,Детская литература
607,https://echo-books.com/shop/zanimatelnye-golovolomki-i-igry/,"10,91",Нет в наличии,Занимательные головоломки и игры,Рэндсфорд Сэнди,Детская литература
608,https://echo-books.com/shop/zhivotnye-na-ferme-2/,"12,72",Нет в наличии,Животные на ферме,Цоппи Л.,Детская литература
